Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,Seychelles,7.4,11.02,14.3,14.59,24.27,25.41,34.95,38.38,40.44,40.72,41.0,43.16,47.08,50.4,51.25,54.26,56.51,58.77,70.1,75.0,79.0
Africa,Sierra Leone,0.12,0.16,0.18,0.19,0.2,0.22,0.23,0.24,0.25,0.26,0.58,0.9,2.5,4.0,6.06,6.34,11.77,13.24,15.8,16.8,16.8
Asia and the Pacific,Singapore,36.0,41.67,47.0,53.84,62.0,61.0,59.0,69.9,69.0,69.0,71.0,71.0,72.0,80.9,79.03,79.01,84.45,84.45,88.17,88.95,75.88
Central and Eastern Europe,Slovakia,9.43,12.53,40.14,43.04,52.89,55.19,56.08,61.8,66.05,70.0,75.71,74.44,76.71,77.88,79.98,77.63,80.48,81.63,80.45,82.85,89.92
Central and Eastern Europe,Slovenia,15.11,30.18,27.84,31.85,40.81,46.81,54.01,56.74,58.0,64.0,70.0,67.34,68.35,72.68,71.59,73.1,75.5,78.89,79.75,83.11,86.6
Africa,South Africa,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10.0,24.0,33.97,41.0,46.5,49.0,51.92,54.0,56.17,62.4,68.2,68.2
Western Europe and North America,Spain,13.62,18.15,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.64,76.19,78.69,80.56,84.6,86.11,90.72,93.21
Western Europe and North America,Sweden,45.69,51.77,70.57,79.13,83.89,84.83,87.76,82.01,90.0,91.0,90.0,92.77,93.18,94.78,92.52,90.61,89.65,93.01,89.25,94.49,94.54
Western Europe and North America,Switzerland,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19,85.2,86.34,87.4,87.48,89.13,89.69,91.8,93.15,93.15
Asia and the Pacific,"Taiwan, Province of China",28.1,34.9,47.6,51.94,53.81,58.01,63.68,64.45,65.84,69.9,71.5,72.0,75.99,76.29,78.04,78.04,79.75,82.97999999999999,86.21,88.82,88.96
Africa,Tanzania,0.12,0.17,0.22,0.68,0.88,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7.0,10.0,13.5,16.0,19.0,20.0,20.0
Asia and the Pacific,Thailand,3.69,5.56,7.53,9.3,10.68,15.03,17.16,20.03,18.2,20.1,22.4,23.67,26.46,28.94,34.89,39.32,47.5,52.89,56.82,66.65,77.84
Africa,Togo,0.8,0.9,1.0,1.2,1.5,1.8,2.0,2.2,2.4,2.6,3.0,3.5,4.0,4.5,5.7,7.12,11.31,12.36,15.5,19.3,19.3
Arab Region,Tunisia,2.75,4.3,5.25,6.49,8.53,9.66,12.99,17.1,27.53,34.07,36.8,39.1,41.44,43.8,46.16,46.5,49.6,55.5,64.19,66.7,66.7
Western Europe and North America,Turkey,3.76,5.19,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.07,45.13,46.25,51.04,53.74,58.35,64.68,71.04,73.98,77.67
Central and Eastern Europe,Ukraine,0.72,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11.0,17.9,23.3,28.71,35.27,40.95,46.24,48.88,53.0,58.89,62.55,70.12,70.12
Arab Region,United Arab Emirates,23.63,26.27,28.32,29.48,30.13,40.0,52.0,61.0,63.0,64.0,68.0,78.0,85.0,88.0,90.4,90.5,90.6,94.82,98.45,99.15,100.0
Western Europe and North America,United Kingdom,26.82,33.48,56.48,64.82,65.61,70.0,68.82,75.09,78.39,83.56,85.0,85.38,87.48,89.84,91.61,92.0,94.78,90.42,90.69,92.52,94.82
Western Europe and North America,United States,43.08,49.08,58.79,61.7,64.76,67.97,68.93,75.0,74.0,71.0,71.69,69.73,74.7,71.4,73.0,74.55,85.54,87.27,88.5,89.43,89.43
Latin America and the Caribbean,Uruguay,10.54,11.12,11.42,15.94,17.06,20.09,29.4,34.0,39.3,41.8,46.4,51.4,54.45,57.69,61.46,64.57,66.4,70.32,80.73,83.35,83.35
Central and Eastern Europe,Uzbekistan,0.48,0.6,1.08,1.91,2.59,3.34,6.39,7.49,9.08,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.79,48.7,55.2,70.4,70.4
Asia and the Pacific,Viet Nam,0.25,1.27,1.85,3.78,7.64,12.74,17.25,20.76,23.92,26.55,30.65,35.07,36.8,38.5,41.0,45.0,53.0,58.14,69.85,68.66,70.29
Africa,Zimbabwe,0.4,0.8,1.1,1.8,2.1,2.4,2.4,3.0,3.5,4.0,6.4,8.4,12.0,15.5,16.36,22.74,23.12,24.4,25.0,25.1,25.1
